dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,diff_bias_amplification,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,0.0,0.0,0.01542788953290146,0.016297191967415588,0.0001327992330113976,0.0001342630299872694,3.086668120096485,0.0,0.0,0.030855779065802946,0.0,0.0,0.03085577906580292,0.0,"{'GTP': 515.5383521546114, 'GFP': 1646.3298123697537, 'GTN': 5240.670187630247, 'GFN': 1642.4616478453886}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,0.0,0.0,0.050723134572510764,0.020029977939404028,0.00020060000812650598,0.000205930326533182,3.0475899247912857,0.0,0.0,0.10144626914502164,0.0,0.0,0.10144626914502153,0.0,"{'GTP': 513.3988177503386, 'GFP': 1643.6070795867904, 'GTN': 5243.392920413209, 'GFN': 1644.6011822496614}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,0.0,0.0,0.00973807259470598,0.01598684702851766,0.00012778963895661196,0.0001271282647288745,3.012194045840598,0.0,0.0,0.019476145189411875,0.0,0.0,0.01947614518941196,0.0,"{'GTP': 515.6754118079286, 'GFP': 1642.2041133878147, 'GTN': 5243.795886612186, 'GFN': 1642.3245881920714}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,0.0,0.0,-0.030137107778730923,0.0141236685836637,9.973900713058448e-05,9.834047770182608e-05,3.1833096407155885,0.0,0.0,-0.06027421555746182,0.0,0.0,-0.06027421555746185,0.0,"{'GTP': 515.7941780423346, 'GFP': 1642.9856147254104, 'GTN': 5243.01438527459, 'GFN': 1642.2058219576656}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,0.0,0.0,-0.04345210004719208,0.017528884380350856,0.0001536308938098541,0.00014993306023332255,2.881130622742732,0.0,0.0,-0.08690420009438415,0.0,0.0,-0.08690420009438415,0.0,"{'GTP': 513.7346818118135, 'GFP': 1644.672890503133, 'GTN': 5241.327109496867, 'GFN': 1644.2653181881865}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
kdd,0,0.19582891481088727,0.1018052618542712,-0.10640863672486213,0.02413863341059325,0.00029133681146550433,0.0002922564248114412,2.779615567164616,0.19582891481088727,0.01775430531913728,0.016195609742158945,0.22222222222222224,-0.19582891481088727,0.009404948772497944,0.007781608897655131,"{'GTP': 223.53259527719678, 'GFP': 421.39893084646246, 'GTN': 10857.601069153538, 'GFN': 497.4674047228032}",0.725,0.9511864406779661,0.016666666666666666,0.9474166666666667,0.31487513572204123
kdd,1,0.21009688934217235,0.1096897419482909,-0.11733824047471689,0.02315318477332462,0.0002680349825738555,0.00026845895573588514,0.8262815266076831,0.21009688934217235,0.02281125941485167,0.02552950043505453,0.25252525252525254,-0.2100968893421724,0.017848771575818725,0.009282594554409442,"{'GTP': 234.81000089537244, 'GFP': 420.2515289010797, 'GTN': 10858.74847109892, 'GFN': 486.18999910462753}",0.7663551401869159,0.9527405396232819,0.017833333333333333,0.9494166666666667,0.3508021390374332
kdd,2,0.19958592132505176,0.10381064656362651,-0.015774058110878057,0.022889739077927955,0.00026197007752781104,0.00026271624949022765,1.6966866781488812,0.19958592132505176,0.016377054845238683,0.013700339525980043,0.038095238095238126,-0.1995859213250517,0.006547121873481953,0.008035371802201258,"{'GTP': 239.11601786801913, 'GFP': 420.711106259536, 'GTN': 10858.288893740464, 'GFN': 481.8839821319808}",0.7429906542056075,0.952316307483455,0.017833333333333333,0.9485833333333333,0.34010695187165774
kdd,3,0.1111111111111111,0.059065464046351296,-0.056912842637675466,0.02364953414685425,0.00027965023268161263,0.000280224597175917,2.789413321482673,0.1111111111111111,0.014870084049566499,0.03475260628876309,0.14285714285714285,-0.11111111111111105,0.029031457581791972,0.007019816981591494,"{'GTP': 222.10728433259777, 'GFP': 401.6823899831869, 'GTN': 10877.317610016813, 'GFN': 498.89271566740223}",0.75,0.9501860622462788,0.014666666666666666,0.94725,0.29431438127090304
kdd,4,0.1717948717948718,0.08788653874860772,0.059610606612034864,0.022175979638938824,0.00024588703647331463,0.0002465209886336979,1.4390857285192613,0.1717948717948718,0.011938896546885779,0.011458629710804913,-0.1111111111111111,-0.17179487179487185,0.008110102112958682,0.003978205702343634,"{'GTP': 215.2365030314515, 'GFP': 426.9642545921212, 'GTN': 10851.035745407878, 'GFN': 506.7634969685485}",0.7142857142857143,0.9510892599813512,0.016916666666666667,0.9470833333333334,0.31351351351351353
