dataset;fold;eq_odds;av_odds;av_pred_diff;cof_variation_allgroups;entropy_index_allgroups;theil_index_allgroups;eq_opportunity;stat_parity;error_rate;false_discovery_rate_dif;false_negative_rate_diff;false_omisson_rate_dif;pred_equality;binary_confusion_matrix;ppv;npv;selection_rate;accuracy;f1-score
adult;0;0,009;0,002;-0,269;0,016;0,000;0,000;-0,004;0,005;0,038;0,571;0,004;0,033;0,009;{'GTP': 507,8258724389598, 'GFP': 1631,0715409237891, 'GTN': 5255,928459076211, 'GFN': 1650,1741275610402};0,282;0,762;0,004;0,760;0,010
adult;1;0,003;-0,003;-0,026;0,020;0,000;0,000;-0,002;-0,003;0,099;-0,846;0,002;0,101;-0,003;{'GTP': 493,03304659947753, 'GFP': 1590,8554736427031, 'GTN': 5296,144526357297, 'GFN': 1664,9669534005225};0,147;0,761;0,004;0,759;0,005
adult;2;0,025;0,021;0,092;0,018;0,000;0,000;0,025;0,019;0,025;-0,167;-0,025;0,018;0,017;{'GTP': 512,7289676945657, 'GFP': 1635,6857917197049, 'GTN': 5250,314208280295, 'GFN': 1645,2710323054343};0,207;0,761;0,003;0,760;0,005
adult;3;0,017;0,007;-0,216;0,020;0,000;0,000;-0,003;0,013;-0,045;0,375;0,003;-0,057;0,017;{'GTP': 532,7599432654679, 'GFP': 1700,8118193838745, 'GTN': 5185,1881806161255, 'GFN': 1625,2400567345321};0,204;0,761;0,005;0,758;0,009
adult;4;0,013;0,005;-0,150;0,020;0,000;0,000;-0,003;0,011;-0,075;0,214;0,003;-0,085;0,013;{'GTP': 498,43736961483955, 'GFP': 1587,9381411727518, 'GTN': 5298,061858827248, 'GFN': 1659,5626303851604};0,237;0,761;0,004;0,759;0,008
kdd;0;0,158;0,081;0,086;0,026;0,000;0,000;0,158;0,015;0,011;-0,165;-0,158;0,008;0,004;{'GTP': 252,94420304186315, 'GFP': 408,36102614212143, 'GTN': 10870,63897385788, 'GFN': 468,05579695813685};0,667;0,956;0,026;0,949;0,400
kdd;1;0,003;0,003;0,074;0,022;0,000;0,000;0,003;0,009;0,026;-0,124;-0,003;0,025;0,002;{'GTP': 268,2778499975758, 'GFP': 444,990799044558, 'GTN': 10834,009200955443, 'GFN': 452,7221500024242};0,634;0,957;0,029;0,948;0,416
kdd;2;0,047;0,025;0,052;0,023;0,000;0,000;0,047;0,007;0,012;-0,095;-0,047;0,010;0,002;{'GTP': 263,2689960155085, 'GFP': 399,2343315011716, 'GTN': 10879,765668498829, 'GFN': 457,7310039844915};0,679;0,956;0,026;0,949;0,410
kdd;3;0,122;-0,060;0,010;0,027;0,000;0,000;-0,122;0,003;0,037;0,015;0,122;0,036;0,002;{'GTP': 238,88922670448528, 'GFP': 362,37463112029536, 'GTN': 10916,625368879704, 'GFN': 482,1107732955147};0,691;0,954;0,022;0,948;0,371
kdd;4;0,053;-0,026;0,003;0,029;0,000;0,000;-0,053;0,002;0,016;0,008;0,053;0,015;0,001;{'GTP': 228,7404627365613, 'GFP': 421,8797769433981, 'GTN': 10856,120223056601, 'GFN': 493,2595372634387};0,675;0,953;0,021;0,947;0,346
german_credit;0;0,969;-0,859;0,024;0,260;0,034;0,041;-0,969;-0,806;-0,165;-0,690;0,969;0,358;-0,750;{'GTP': 36,08976608514786, 'GFP': 74,91266893967986, 'GTN': 65,08733106032014, 'GFN': 23,910233914852142};0,321;0,742;0,670;0,460;0,443
german_credit;1;0,967;-0,799;-0,002;0,267;0,036;0,042;-0,967;-0,719;-0,093;-0,646;0,967;0,350;-0,631;{'GTP': 35,223402097821236, 'GFP': 67,62448308244348, 'GTN': 72,37551691755652, 'GFN': 24,776597902178764};0,371;0,798;0,580;0,550;0,489
german_credit;2;0,969;-0,837;0,052;0,257;0,033;0,041;-0,969;-0,775;-0,051;-0,667;0,969;0,437;-0,705;{'GTP': 36,70042335987091, 'GFP': 74,382917445153, 'GTN': 65,617082554847, 'GFN': 23,29957664012909};0,341;0,779;0,660;0,490;0,469
german_credit;3;0,852;-0,797;0,093;0,334;0,056;0,070;-0,852;-0,767;-0,011;-0,742;0,852;0,444;-0,742;{'GTP': 31,944584496319294, 'GFP': 73,2663438282907, 'GTN': 66,7336561717093, 'GFN': 28,055415503680706};0,274;0,658;0,620;0,420;0,370
german_credit;4;0,946;-0,819;-0,041;0,244;0,030;0,036;-0,946;-0,763;-0,178;-0,650;0,946;0,269;-0,691;{'GTP': 38,273562517017126, 'GFP': 71,43130688369274, 'GTN': 68,56869311630726, 'GFN': 21,726437482982874};0,346;0,781;0,635;0,505;0,471
dutch;0;0,074;-0,013;0,153;0,063;0,002;0,002;-0,074;0,168;0,114;-0,055;0,074;0,251;0,049;{'GTP': 4060,0983724901453, 'GFP': 1226,199109942725, 'GTN': 5104,800890057275, 'GFN': 1692,9016275098547};0,883;0,775;0,381;0,816;0,786
dutch;1;0,066;0,007;0,158;0,056;0,002;0,002;-0,051;0,209;0,110;-0,058;0,051;0,257;0,066;{'GTP': 4132,435690254439, 'GFP': 1233,0536549948738, 'GTN': 5097,946345005126, 'GFN': 1620,5643097455613};0,882;0,786;0,393;0,824;0,797
dutch;2;0,114;-0,053;0,183;0,089;0,004;0,004;-0,114;0,132;0,122;-0,093;0,114;0,274;0,008;{'GTP': 3811,83622255153, 'GFP': 1151,6788608510542, 'GTN': 5179,321139148946, 'GFN': 1941,1637774484698};0,890;0,764;0,367;0,811;0,776
dutch;3;0,094;-0,039;0,178;0,085;0,004;0,004;-0,094;0,149;0,124;-0,082;0,094;0,274;0,016;{'GTP': 3745,7484062337317, 'GFP': 972,0757479993554, 'GTN': 5359,924252000645, 'GFN': 2006,2515937662683};0,899;0,760;0,358;0,810;0,772
dutch;4;0,124;-0,057;0,195;0,095;0,004;0,004;-0,124;0,138;0,130;-0,098;0,124;0,292;0,010;{'GTP': 3794,373862847686, 'GFP': 1143,0114209210587, 'GTN': 5188,988579078941, 'GFN': 1957,6261371523142};0,888;0,763;0,367;0,809;0,773
bank;0;0,005;-0,003;-0,517;0,019;0,000;0,000;-0,005;-0,001;-0,034;0,000;0,005;-0,034;0,000;{'GTP': 174,13033593728323, 'GFP': 363,93297228884535, 'GTN': 7621,067027711155, 'GFN': 883,8696640627168};0,957;0,885;0,003;0,885;0,041
