dataset;fold;eq_odds;av_odds;av_pred_diff;cof_variation_allgroups;entropy_index_allgroups;theil_index_allgroups;diff_bias_amplification;eq_opportunity;stat_parity;error_rate;false_discovery_rate_dif;false_negative_rate_diff;false_omisson_rate_dif;pred_equality;binary_confusion_matrix;ppv;npv;selection_rate;accuracy;f1-score
adult;0;0,000;0,000;0,015;0,016;0,000;0,000;3086668120096480,000;0,000;0,000;0,031;0,000;0,000;0,031;0,000;{'GTP': 2158,0, 'GFP': 0,0, 'GTN': 6887,0, 'GFN': 0,0};0,000;0,761;0,000;0,761;0,000
adult;1;0,000;0,000;0,051;0,020;0,000;0,000;30475899247912800,000;0,000;0,000;0,101;0,000;0,000;0,101;0,000;{'GTP': 2158,0, 'GFP': 0,0, 'GTN': 6887,0, 'GFN': 0,0};0,000;0,761;0,000;0,761;0,000
adult;2;0,000;0,000;0,010;0,016;0,000;0,000;3012194045840590,000;0,000;0,000;0,019;0,000;0,000;0,019;0,000;{'GTP': 2158,0, 'GFP': 0,0, 'GTN': 6886,0, 'GFN': 0,0};0,000;0,761;0,000;0,761;0,000
adult;3;0,000;0,000;-0,030;0,014;98403417226,828;97013556600,411;31833096407155800,000;0,000;0,000;-0,060;0,000;0,000;-0,060;0,000;{'GTP': 2158,0, 'GFP': 0,0, 'GTN': 6886,0, 'GFN': 0,0};0,000;0,761;0,000;0,761;0,000
adult;4;0,000;0,000;-0,043;0,018;0,000;0,000;2881130622742730,000;0,000;0,000;-0,087;0,000;0,000;-0,087;0,000;{'GTP': 2158,0, 'GFP': 0,0, 'GTN': 6886,0, 'GFN': 0,0};0,000;0,761;0,000;0,761;0,000
kdd;0;0,081;0,041;-0,014;0,037;0,001;0,001;13665736976776900,000;0,081;0,006;0,015;0,043;-0,081;0,014;0,001;{'GTP': 721,0, 'GFP': 0,0, 'GTN': 11279,0, 'GFN': 0,0};0,914;0,944;0,005;0,944;0,136
kdd;1;0,023;-0,012;0,106;0,037;0,001;0,001;-0,272;-0,023;0,000;0,030;-0,182;0,023;0,030;0,000;{'GTP': 721,0, 'GFP': 0,0, 'GTN': 11279,0, 'GFN': 0,0};0,950;0,944;0,005;0,944;0,146
kdd;2;0,022;-0,011;-0,131;0,036;0,001;0,001;0,292;-0,022;0,001;0,016;0,278;0,022;0,015;0,001;{'GTP': 721,0, 'GFP': 0,0, 'GTN': 11279,0, 'GFN': 0,0};0,816;0,945;0,006;0,944;0,156
kdd;3;0,037;-0,019;0,101;0,037;0,001;0,001;13400798504518200,000;-0,037;-895478015,119;0,036;-0,167;0,037;0,036;0,000;{'GTP': 721,0, 'GFP': 0,0, 'GTN': 11279,0, 'GFN': 0,0};0,860;0,943;0,004;0,943;0,112
kdd;4;0,009;-0,005;0,133;0,036;0,001;0,001;-0,078;-0,009;-8661259442,397;0,015;-0,250;0,009;0,015;-0,001;{'GTP': 722,0, 'GFP': 0,0, 'GTN': 11278,0, 'GFN': 0,0};0,836;0,944;0,006;0,944;0,142
german_credit;0;0,375;0,216;0,045;0,077;0,003;0,003;0,438;0,375;0,240;-0,060;-0,162;-0,375;-0,072;0,058;{'GTP': 60,0, 'GFP': 0,0, 'GTN': 140,0, 'GFN': 0,0};0,627;0,812;0,255;0,765;0,577
german_credit;1;0,100;0,062;0,047;0,027;0,000;0,000;0,058;0,025;0,127;0,084;-0,004;-0,025;0,090;0,100;{'GTP': 60,0, 'GFP': 0,0, 'GTN': 140,0, 'GFN': 0,0};0,618;0,821;0,275;0,765;0,591
german_credit;2;0,451;0,325;0,029;0,074;0,003;0,003;0,515;0,451;0,387;-0,014;-0,119;-0,451;-0,061;0,198;{'GTP': 60,0, 'GFP': 0,0, 'GTN': 140,0, 'GFN': 0,0};0,604;0,810;0,265;0,755;0,566
german_credit;3;0,366;0,229;0,284;0,084;0,004;0,003;0,298;0,366;0,315;0,055;-0,367;-0,366;0,202;0,092;{'GTP': 60,0, 'GFP': 0,0, 'GTN': 140,0, 'GFN': 0,0};0,553;0,778;0,235;0,725;0,486
german_credit;4;0,227;0,093;-0,067;0,057;0,002;0,002;0,179;-0,041;0,160;0,183;0,238;0,041;0,104;0,227;{'GTP': 60,0, 'GFP': 0,0, 'GTN': 140,0, 'GFN': 0,0};0,614;0,825;0,285;0,765;0,598
dutch;0;0,081;0,021;0,140;0,045;0,001;0,001;-0,106;-0,038;0,200;0,102;-0,047;0,038;0,233;0,081;{'GTP': 5753,0, 'GFP': 0,0, 'GTN': 6331,0, 'GFN': 0,0};0,863;0,785;0,403;0,817;0,791
dutch;1;0,078;0,024;0,152;0,049;0,001;0,001;-0,105;-0,030;0,223;0,105;-0,055;0,030;0,249;0,078;{'GTP': 5753,0, 'GFP': 0,0, 'GTN': 6331,0, 'GFN': 0,0};0,875;0,787;0,397;0,822;0,796
dutch;2;0,067;0,022;0,146;0,045;0,001;0,001;-0,110;-0,023;0,206;0,089;-0,068;0,023;0,225;0,067;{'GTP': 5753,0, 'GFP': 0,0, 'GTN': 6331,0, 'GFN': 0,0};0,866;0,789;0,405;0,820;0,796
dutch;3;0,068;0,020;0,151;0,049;0,001;0,001;-0,112;-0,028;0,208;0,097;-0,064;0,028;0,239;0,068;{'GTP': 5752,0, 'GFP': 0,0, 'GTN': 6332,0, 'GFN': 0,0};0,871;0,784;0,397;0,819;0,792
