dataset;fold;eq_odds;av_odds;av_pred_diff;cof_variation_allgroups;entropy_index_allgroups;theil_index_allgroups;diff_bias_amplification;eq_opportunity;stat_parity;error_rate;false_discovery_rate_dif;false_negative_rate_diff;false_omisson_rate_dif;pred_equality;binary_confusion_matrix;ppv;npv;selection_rate;accuracy;f1-score
dutch;4;0,311;0,213;0,101;0,034;0,001;0,001;0,198;0,115;0,379;0,069;-0,050;-0,115;0,151;0,311;{'GTP': 5752,0, 'GFP': 0,0, 'GTN': 6332,0, 'GFN': 0,0};0,751;0,842;0,536;0,793;0,796
bank;0;0,035;0,027;-0,252;0,018;0,000;0,000;10569751037719700,000;0,035;0,018;-0,017;0,470;-0,035;-0,034;0,019;{'GTP': 1058,0, 'GFP': 0,0, 'GTN': 7985,0, 'GFN': 0,0};0,812;0,892;0,013;0,891;0,162
bank;1;0,121;-0,038;0,078;0,084;0,004;0,004;-13688523538877300,000;-0,121;0,017;0,473;0,318;0,121;0,474;0,044;{'GTP': 1057,0, 'GFP': 0,0, 'GTN': 7985,0, 'GFN': 0,0};0,719;0,897;0,022;0,893;0,232
bank;2;0,241;0,138;0,549;0,070;0,002;0,003;-0,064;0,034;0,183;0,674;-0,254;-0,034;0,844;0,241;{'GTP': 1058,0, 'GFP': 0,0, 'GTN': 7984,0, 'GFN': 0,0};0,720;0,901;0,030;0,896;0,291
bank;3;0,036;0,015;0,378;0,080;0,003;0,004;-0,318;0,036;0,140;0,300;-0,366;-0,036;0,390;-0,005;{'GTP': 1058,0, 'GFP': 0,0, 'GTN': 7984,0, 'GFN': 0,0};0,658;0,913;0,053;0,900;0,408
bank;4;0,412;0,403;-0,058;0,109;0,006;0,005;0,861;0,394;0,461;0,294;0,119;-0,394;0,004;0,412;{'GTP': 1058,0, 'GFP': 0,0, 'GTN': 7984,0, 'GFN': 0,0};0,404;0,937;0,159;0,852;0,466
credit_card;0;;;0,463;0,014;93295335888,749;936247546,298;0,850;;;-0,812;0,259;;0,186;;{'GTP': 1328,0, 'GFP': 0,0, 'GTN': 4672,0, 'GFN': 0,0};0,678;0,803;0,050;0,797;0,250
credit_card;1;;;0,435;0,018;0,000;0,000;0,760;;;-0,819;0,308;;0,177;;{'GTP': 1327,0, 'GFP': 0,0, 'GTN': 4673,0, 'GFN': 0,0};0,656;0,802;0,051;0,795;0,247
credit_card;2;;;0,441;0,014;94697791394,968;94815425847,607;0,838;;;-0,803;0,310;;0,193;;{'GTP': 1327,0, 'GFP': 0,0, 'GTN': 4673,0, 'GFN': 0,0};0,678;0,809;0,062;0,801;0,298
credit_card;3;;;0,399;0,037;0,001;0,001;0,797;;;-0,842;0,355;;0,154;;{'GTP': 1327,0, 'GFP': 0,0, 'GTN': 4673,0, 'GFN': 0,0};0,766;0,804;0,044;0,802;0,252
credit_card;4;;;0,438;0,026;0,000;0,000;0,599;;;-0,845;0,278;;0,153;;{'GTP': 1327,0, 'GFP': 0,0, 'GTN': 4673,0, 'GFN': 0,0};0,744;0,802;0,042;0,800;0,239
compass_7k;0;0,065;-0,032;0,014;0,008;333841482652,599;33401331039,123;0,029;0,000;-0,299;-0,025;-0,027;0,000;0,000;-0,065;{'GTP': 562,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,951;1,000;0,479;0,977;0,975
compass_7k;1;0,074;-0,037;0,021;0,011;64848295157,220;64825721534,763;0,044;0,000;-0,226;-0,031;-0,041;0,000;0,000;-0,074;{'GTP': 562,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,940;1,000;0,484;0,971;0,969
compass_7k;2;0,053;-0,027;0,003;0,007;275521614865,900;275385440049,549;0,014;0,000;-0,224;-0,016;-0,006;0,000;0,000;-0,053;{'GTP': 561,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,941;1,000;0,483;0,972;0,970
compass_7k;3;0,071;-0,036;0,015;0,008;34109837552,817;34243389337,847;0,030;0,000;-0,234;-0,027;-0,030;0,000;0,000;-0,071;{'GTP': 562,0, 'GFP': 0,0, 'GTN': 672,0, 'GFN': 0,0};0,927;1,000;0,491;0,964;0,962
compass_7k;4;0,054;-0,027;0,008;0,007;26035217906,162;261243985107,903;0,017;0,000;-0,237;-0,020;-0,016;0,000;0,000;-0,054;{'GTP': 562,0, 'GFP': 0,0, 'GTN': 672,0, 'GFN': 0,0};0,938;1,000;0,485;0,970;0,968
compass_4k;0;0,022;-0,011;0,029;0,007;224298123950,946;224254040114,731;0,059;0,000;-0,241;-0,016;-0,057;0,000;0,000;-0,022;{'GTP': 130,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,949;1,000;0,171;0,991;0,974
compass_4k;1;0,016;-0,008;0,031;0,005;107107695729,434;107130015868,499;0,063;0,000;-0,144;-0,013;-0,062;0,000;0,000;-0,016;{'GTP': 130,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,956;1,000;0,169;0,993;0,977
compass_4k;2;0,013;0,006;-0,096;0,005;107225306549,078;106922332235,200;-0,206;0,000;-0,142;0,013;0,192;0,000;0,000;0,013;{'GTP': 130,0, 'GFP': 0,0, 'GTN': 673,0, 'GFN': 0,0};0,949;1,000;0,171;0,991;0,974
compass_4k;3;0,013;-0,006;0,018;0,006;180174585114,267;180385017235,823;0,037;0,000;-0,210;-0,010;-0,036;0,000;0,000;-0,013;{'GTP': 131,0, 'GFP': 0,0, 'GTN': 672,0, 'GFN': 0,0};0,942;1,000;0,173;0,990;0,970
compass_4k;4;0,021;-0,011;0,034;0,006;167311072329,064;16794425069,972;0,069;0,000;-0,142;-0,016;-0,068;0,000;0,000;-0,021;{'GTP': 131,0, 'GFP': 0,0, 'GTN': 672,0, 'GFN': 0,0};0,916;1,000;0,178;0,985;0,956
diabetes;0;0,008;0,001;0,081;0,003;5430071781,538;5431120533,955;0,099;-0,005;-0,002;0,000;-0,004;0,005;0,159;0,008;{'GTP': 6930,0, 'GFP': 0,0, 'GTN': 2213,0, 'GFN': 0,0};0,760;0,367;0,983;0,753;0,858
diabetes;1;0,003;0,002;-0,139;0,004;6630126471,579;66284513037,529;0,578;0,002;0,002;0,006;0,007;-0,002;-0,270;0,003;{'GTP': 6930,0, 'GFP': 0,0, 'GTN': 2213,0, 'GFN': 0,0};0,759;0,700;0,997;0,759;0,863
diabetes;2;0,004;-0,003;0,037;0,004;68693755810,681;6867669532,231;0,766;-0,002;-0,002;0,012;0,011;0,002;0,085;-0,004;{'GTP': 6930,0, 'GFP': 0,0, 'GTN': 2213,0, 'GFN': 0,0};0,759;0,500;0,997;0,758;0,862
diabetes;3;0,007;-0,004;-0,082;0,002;1325067754,996;13249281877,674;0,388;0,000;-0,002;0,005;0,005;0,000;-0,160;-0,007;{'GTP': 6930,0, 'GFP': 0,0, 'GTN': 2213,0, 'GFN': 0,0};0,759;0,489;0,995;0,758;0,862
diabetes;4;0,018;0,011;0,034;0,007;24733463773,964;247228331930,878;0,997;0,005;0,008;0,010;0,012;-0,005;0,080;0,018;{'GTP': 6929,0, 'GFP': 0,0, 'GTN': 2214,0, 'GFN': 0,0};0,760;0,474;0,992;0,757;0,861
ricci;0;0,000;0,000;-0,112;0,052;0,001;0,001;0,051;0,000;-0,056;0,167;0,225;0,000;0,000;0,000;{'GTP': 12,0, 'GFP': 0,0, 'GTN': 12,0, 'GFN': 0,0};0,571;1,000;0,875;0,625;0,727
ricci;1;0,150;-0,039;-0,211;0,091;0,004;0,004;-0,310;0,071;-0,083;-0,167;0,100;-0,071;-0,321;-0,150;{'GTP': 11,0, 'GFP': 0,0, 'GTN': 13,0, 'GFN': 0,0};0,556;0,600;0,375;0,583;0,500
ricci;2;0,024;;-0,458;0,035;0,001;0,001;-10152306797290500,000;;-0,563;0,084;0,917;;0,000;-0,024;{'GTP': 11,0, 'GFP': 0,0, 'GTN': 13,0, 'GFN': 0,0};0,846;1,000;0,542;0,917;0,917
ricci;3;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;-0,215;0,000;0,000;0,000;0,000;0,000;{'GTP': 11,0, 'GFP': 0,0, 'GTN': 12,0, 'GFN': 0,0};1,000;1,000;0,478;1,000;1,000
ricci;4;0,500;0,250;0,282;0,385;0,074;0,077;0,939;0,500;0,167;-0,470;0,000;-0,500;-0,436;0,000;{'GTP': 11,0, 'GFP': 0,0, 'GTN': 12,0, 'GFN': 0,0};1,000;0,571;0,087;0,609;0,308
student_math;0;;;-0,464;0,058;0,002;0,002;-0,201;;;0,721;-0,308;;-0,235;;{'GTP': 53,0, 'GFP': 0,0, 'GTN': 26,0, 'GFN': 0,0};0,839;0,739;0,709;0,810;0,862
student_math;1;0,000;;-0,654;0,035;0,001;0,001;-0,156;;-0,606;-0,121;0,000;;-0,308;0,000;{'GTP': 53,0, 'GFP': 0,0, 'GTN': 26,0, 'GFN': 0,0};0,935;0,697;0,582;0,835;0,869
student_math;2;0,359;-0,179;-0,121;0,069;0,002;0,002;13981288187668900,000;0,000;-0,397;0,019;0,243;0,000;0,000;-0,359;{'GTP': 53,0, 'GFP': 0,0, 'GTN': 26,0, 'GFN': 0,0};0,736;1,000;0,911;0,759;0,848
student_math;3;0,875;-0,471;0,136;0,099;0,005;0,005;2106252799130490,000;-0,067;-0,348;-0,127;-0,148;0,067;0,125;-0,875;{'GTP': 53,0, 'GFP': 0,0, 'GTN': 26,0, 'GFN': 0,0};0,870;0,760;0,684;0,835;0,879
student_math;4;0,033;0,017;-0,138;0,107;0,006;0,006;-1198274783211290,000;0,000;-0,039;0,244;0,276;0,000;0,000;0,033;{'GTP': 53,0, 'GFP': 0,0, 'GTN': 26,0, 'GFN': 0,0};0,722;0,857;0,911;0,734;0,832
student_port;0;1,000;;-0,476;0,058;0,002;0,002;19459101490553100,000;;-1,000;-0,048;-0,048;;0,000;-1,000;{'GTP': 110,0, 'GFP': 0,0, 'GTN': 20,0, 'GFN': 0,0};0,879;0,833;0,954;0,877;0,932
student_port;1;0,200;-0,100;-0,025;0,021;0,000;0,000;0,251;-0,200;-0,352;0,268;0,300;0,200;0,250;0,000;{'GTP': 110,0, 'GFP': 0,0, 'GTN': 20,0, 'GFN': 0,0};0,897;0,571;0,892;0,862;0,920
student_port;2;;;0,079;0,075;0,003;0,003;-0,281;0,000;0,116;-0,140;-0,158;0,000;0,000;;{'GTP': 110,0, 'GFP': 0,0, 'GTN': 20,0, 'GFN': 0,0};0,913;0,667;0,885;0,885;0,933
student_port;3;0,214;-0,098;-0,207;0,087;0,004;0,004;-0,059;0,019;-0,176;0,039;0,081;-0,019;-0,333;-0,214;{'GTP': 110,0, 'GFP': 0,0, 'GTN': 20,0, 'GFN': 0,0};0,922;0,786;0,892;0,908;0,947
student_port;4;0,157;-0,120;0,022;0,126;0,008;0,008;-18426526835942600,000;-0,157;-0,187;0,128;0,028;0,157;0,071;-0,083;{'GTP': 109,0, 'GFP': 0,0, 'GTN': 20,0, 'GFN': 0,0};0,957;0,444;0,721;0,814;0,881
law;0;0,072;-0,038;-0,049;0,059;0,002;0,002;3233537052664120,000;-0,005;-0,025;0,218;0,223;0,005;0,125;-0,072;{'GTP': 3701,0, 'GFP': 0,0, 'GTN': 459,0, 'GFN': 0,0};0,893;0,824;0,996;0,892;0,943
law;1;0,074;-0,045;0,057;0,062;0,002;0,002;35592902479351500,000;-0,016;-0,034;0,221;0,220;0,016;0,333;-0,074;{'GTP': 3701,0, 'GFP': 0,0, 'GTN': 459,0, 'GFN': 0,0};0,893;0,778;0,996;0,892;0,943
law;2;0,105;-0,062;-0,404;0,047;0,001;0,001;3749560903455480,000;-0,020;-0,042;0,170;0,165;0,020;-0,643;-0,105;{'GTP': 3701,0, 'GFP': 0,0, 'GTN': 459,0, 'GFN': 0,0};0,893;0,708;0,994;0,892;0,943
law;3;0,119;-0,068;0,061;0,054;0,001;0,001;3919435784881430,000;-0,018;-0,045;0,174;0,171;0,018;0,294;-0,119;{'GTP': 3701,0, 'GFP': 0,0, 'GTN': 458,0, 'GFN': 0,0};0,894;0,815;0,994;0,894;0,944
law;4;0,086;-0,049;0,024;0,057;0,002;0,002;35741279561409400,000;-0,012;-0,033;0,201;0,202;0,012;0,250;-0,086;{'GTP': 3701,0, 'GFP': 0,0, 'GTN': 458,0, 'GFN': 0,0};0,893;0,842;0,995;0,893;0,943
