dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 2.479533818666823, 'GFP': 7.914435976650566, 'GTN': 6879.085564023349, 'GFN': 2155.520466181333}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 2.6447845115326345, 'GFP': 8.43968856788706, 'GTN': 6878.560311432113, 'GFN': 2155.3552154884674}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.0772444618633017, 'GFP': 9.813382261083461, 'GTN': 6876.1866177389165, 'GFN': 2154.9227555381367}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 2.7344180952059105, 'GFP': 8.740417043212801, 'GTN': 6877.259582956787, 'GFN': 2155.265581904794}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 2.69646001921501, 'GFP': 8.612220497452654, 'GTN': 6877.387779502547, 'GFN': 2155.303539980785}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 2.87964954378549, 'GFP': 9.206900296849199, 'GTN': 6877.793099703151, 'GFN': 2155.1203504562145}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 2.785572217660956, 'GFP': 8.8923061741516, 'GTN': 6878.107693825848, 'GFN': 2155.214427782339}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.6860779704293236, 'GFP': 11.762292931438424, 'GTN': 6874.237707068562, 'GFN': 2154.3139220295707}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.313694617478177, 'GFP': 10.576161622768268, 'GTN': 6875.423838377232, 'GFN': 2154.686305382522}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.467837980017066, 'GFP': 11.067377943079919, 'GTN': 6874.93262205692, 'GFN': 2154.532162019983}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 10.970009505283087, 'GFP': 35.01291369413957, 'GTN': 6851.98708630586, 'GFN': 2147.029990494717}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 9.999036120250821, 'GFP': 31.87626920780167, 'GTN': 6855.123730792198, 'GFN': 2148.000963879749}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 11.409324408508837, 'GFP': 36.414607455488294, 'GTN': 6849.585392544512, 'GFN': 2146.590675591491}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 11.287450639531016, 'GFP': 36.01038627978414, 'GTN': 6849.989613720216, 'GFN': 2146.712549360469}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 9.365755144972354, 'GFP': 29.921466579195112, 'GTN': 6856.078533420805, 'GFN': 2148.6342448550276}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,0,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 2.684366071363911, 'GFP': 8.559089344576932, 'GTN': 6878.440910655423, 'GFN': 2155.315633928636}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,1,,,0.11929242675511333,2.1073424255447017e-08,2.220446049250313e-16,2.9162094548379673e-16,,,-0.7614151464897734,0.0,,0.23858485351022665,,"{'GTP': 3.3430951626505703, 'GFP': 10.67052923887968, 'GTN': 6876.32947076112, 'GFN': 2154.6569048373494}",0.0,0.7614151464897734,0.0,0.7614151464897734,0.0
adult,2,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.8848643406527117, 'GFP': 12.381045816349797, 'GTN': 6873.61895418365, 'GFN': 2154.1151356593473}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,3,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.0262051657773554, 'GFP': 9.678987451014109, 'GTN': 6876.321012548986, 'GFN': 2154.9737948342226}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
adult,4,,,0.11930561698363557,0.0,0.0,0.0,,,-0.7613887660327289,0.0,,0.23861123396727113,,"{'GTP': 3.2303210685495287, 'GFP': 10.3178295904072, 'GTN': 6875.682170409593, 'GFN': 2154.7696789314505}",0.0,0.7613887660327289,0.0,0.7613887660327289,0.0
kdd,0,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.157018128913478, 'GFP': 2.46236799559847, 'GTN': 11276.537632004402, 'GFN': 720.8429818710865}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,1,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.15193889525835402, 'GFP': 2.3829074549284996, 'GTN': 11276.617092545072, 'GFN': 720.8480611047416}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,2,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.17204734928964172, 'GFP': 2.687513824275811, 'GTN': 11276.312486175724, 'GFN': 720.8279526507104}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,3,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.21555906275170855, 'GFP': 3.3860008225019556, 'GTN': 11275.613999177498, 'GFN': 720.7844409372483}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,4,,,0.0,2.1073424255447017e-08,2.220446049250313e-16,2.3625955480585e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.14010281674563885, 'GFP': 2.186763522448018, 'GTN': 11275.813236477552, 'GFN': 721.8598971832544}",0.0,0.9398333333333333,0.0,0.9398333333333333,0.0
kdd,0,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.45670888520544395, 'GFP': 7.160675172752235, 'GTN': 11271.839324827248, 'GFN': 720.5432911147946}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,1,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.3112754604080692, 'GFP': 4.869358879659558, 'GTN': 11274.13064112034, 'GFN': 720.6887245395919}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,2,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.3972101133549586, 'GFP': 6.210460013739066, 'GTN': 11272.789539986261, 'GFN': 720.602789886645}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,3,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.45522828475805, 'GFP': 7.1584644361864775, 'GTN': 11271.841535563814, 'GFN': 720.544771715242}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,4,,,0.0,2.1073424255447017e-08,2.220446049250313e-16,2.3625955480585e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.31165855360450223, 'GFP': 4.870431493211072, 'GTN': 11273.129568506789, 'GFN': 721.6883414463955}",0.0,0.9398333333333333,0.0,0.9398333333333333,0.0
kdd,0,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.7575482971733436, 'GFP': 11.892335908429231, 'GTN': 11267.10766409157, 'GFN': 720.2424517028267}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,1,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.5849712275085039, 'GFP': 9.18125321296975, 'GTN': 11269.81874678703, 'GFN': 720.4150287724915}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,2,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.704635385540314, 'GFP': 11.033307803620119, 'GTN': 11267.96669219638, 'GFN': 720.2953646144597}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
kdd,3,,,0.0,,-2.220446049250313e-16,-2.3623860795286604e-16,,,0.0,0.0,,0.0,,"{'GTP': 0.9403967323014513, 'GFP': 14.747623995062895, 'GTN': 11264.252376004937, 'GFN': 720.0596032676985}",0.0,0.9399166666666666,0.0,0.9399166666666666,0.0
