dataset,fold,eq_odds,av_odds,av_pred_diff,cof_variation_allgroups,entropy_index_allgroups,theil_index_allgroups,eq_opportunity,stat_parity,error_rate,false_discovery_rate_dif,false_negative_rate_diff,false_omisson_rate_dif,pred_equality,binary_confusion_matrix,ppv,npv,selection_rate,accuracy,f1-score
adult,0,0.009219052910660039,0.004609526455330019,-0.011404212101774641,0.023739033372200978,0.00028177085272323586,0.00027883555423276825,0.0,0.0071965431174782265,-0.017206745722143202,0.0,0.0,-0.022808424203549282,0.009219052910660039,"{'GTP': 505.11061652749777, 'GFP': 1615.7201222898439, 'GTN': 5271.279877710156, 'GFN': 1652.8893834725022}",0.1724137931034483,0.7612023070097604,0.0032061912658927585,0.7593145384190161,0.004572473708276178
adult,1,0.002787068004459309,-0.002728053575183391,-0.12063022568617265,0.009296009887881656,4.3207899917796764e-05,4.297008318891527e-05,-0.0026690391459074734,-0.0027589134125636672,-0.011955291454442518,-0.7692307692307693,0.002669039145907437,-0.010491220603114526,-0.002787068004459309,"{'GTP': 490.55253763124347, 'GFP': 1583.864679402206, 'GTN': 5303.135320597794, 'GFN': 1667.4474623687565}",0.175,0.7611327040533037,0.004422332780541736,0.7585406301824212,0.006369426751592357
adult,2,0.02128568757845258,0.008801223163075276,-0.1398354844140574,0.011411430912763882,6.511037773839156e-05,6.543355519137518e-05,-0.003683241252302026,0.014904618053706084,0.039813497287302435,0.3076923076923077,0.0036832412523020164,0.02802133886419292,0.02128568757845258,"{'GTP': 516.3307597059757, 'GFP': 1654.2452699572314, 'GTN': 5231.754730042769, 'GFN': 1641.6692402940243}",0.1935483870967742,0.7612337734383668,0.003427686864219372,0.7592879256965944,0.00548195523069895
adult,3,0.010242245839386294,0.00466904335368953,-0.09993798764262843,0.012405706924706212,7.695078215085182e-05,7.674793304438171e-05,-0.0009041591320072332,0.007625675713395175,0.006157481926701958,0.19999999999999996,0.000904159132007254,0.0001240247147431539,0.010242245839386294,"{'GTP': 530.4121092500809, 'GFP': 1700.0604369722496, 'GTN': 5185.93956302775, 'GFN': 1627.587890749919}",0.2653061224489796,0.7615341856586992,0.005417956656346749,0.7588456435205662,0.011780697779791573
adult,4,0.009168402756376277,0.0036873403916410532,-0.13733201375143245,0.015553392410806067,0.00012095400774225987,0.00011943259793864743,-0.0017937219730941704,0.00682361345868455,-0.018837665757097,0.25,0.0017937219730941312,-0.024664027502864894,0.009168402756376277,"{'GTP': 518.5251258406788, 'GFP': 1665.0317079415545, 'GTN': 5220.9682920584455, 'GFN': 1639.4748741593212}",0.19642857142857142,0.7611259457053849,0.006191950464396285,0.7576293675364882,0.00993676603432701
adult,0,0.01155189901949735,0.004109282843082008,-0.23348458281466808,0.01892699353465178,0.00017911554213037516,0.00017665259126733402,-0.0033333333333333335,0.008843633288704108,-0.05873440913254879,0.4,0.0033333333333332993,-0.06696916562933614,0.01155189901949735,"{'GTP': 525.4743734861258, 'GFP': 1657.9524308433756, 'GTN': 5229.047569156624, 'GFN': 1632.5256265138742}",0.3333333333333333,0.7619842064286508,0.005970149253731343,0.7594250967385295,0.0162748643761302
adult,1,0.0016891891891891893,-0.0014937766252359865,-0.16737565315297456,0.01057811687207048,5.594827827959109e-05,5.5645380003589244e-05,-0.0016891891891891893,-0.0013902681231380337,-0.049703240109928215,-0.7142857142857143,0.0016891891891891442,-0.04903702059166343,-0.0012983640612827837,"{'GTP': 504.26860875752755, 'GFP': 1592.2315431799943, 'GTN': 5294.768456820006, 'GFN': 1653.7313912424725}",0.25,0.7614505933237219,0.003095632946379215,0.7598673300165838,0.006404391582799634
adult,2,0.05142532974046234,0.024864488449535666,-0.030975463003947712,0.020248762624544978,0.0002050061939125848,0.0002054842506260896,-0.0016963528413910093,0.035188613892562504,0.10515523647584868,0.1428571428571429,0.0016963528413910245,0.08090621684924743,0.05142532974046234,"{'GTP': 529.3398912195116, 'GFP': 1692.364390657167, 'GTN': 5193.635609342833, 'GFN': 1628.6601087804884}",0.18333333333333332,0.7610195903829029,0.006634232640424591,0.75718708536046,0.009918845807033363
adult,3,0.04505582137161084,0.028401925289062074,0.05648414906064418,0.009807603791681526,4.8094546067302925e-05,4.8074988596954855e-05,0.04505582137161084,0.01935048876542357,-0.007192701992466688,-0.125,-0.045055821371610905,-0.012031701878711637,0.01174802920651331,"{'GTP': 515.167148404289, 'GFP': 1620.328141365433, 'GTN': 5265.671858634567, 'GFN': 1642.832851595711}",0.25806451612903225,0.7615230460921844,0.006855373728438744,0.7580716497125166,0.014414414414414415
adult,4,0.005751848808545604,-0.0041793654887357845,-0.21842244403215683,0.014943929509191442,0.00011166051458784138,0.00010874956652622502,-0.005751848808545604,-0.0033643380170195925,-0.026250854862508,-0.5882352941176471,0.005751848808545623,-0.02508018218196076,-0.0026068821689259644,"{'GTP': 502.8126763178734, 'GFP': 1596.4604817032814, 'GTN': 5289.539518296719, 'GFN': 1655.1873236821266}",0.3695652173913043,0.7620582351633697,0.0050862450243255196,0.760061919504644,0.015426497277676952
